epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,9040.59,0.48468,0.23206,0.85764,0.999,0.99801,0.99402,0.88982,0.5427,0.22825,0.85847,0.00454783,0.00454783,0.00454783
78,9175.2,0.48641,0.23167,0.86033,0.999,0.99797,0.99402,0.88978,0.53284,0.22091,0.8684,0.00447609,0.00447609,0.00447609
79,9294.11,0.48121,0.22956,0.86438,0.99801,0.99894,0.99419,0.89809,0.5148,0.21292,0.87334,0.00440435,0.00440435,0.00440435
80,9381.69,0.48399,0.23022,0.86581,0.99896,0.99801,0.99401,0.89271,0.52995,0.22064,0.88192,0.00433261,0.00433261,0.00433261
81,9464.16,0.48361,0.23081,0.86746,0.99801,0.99684,0.99401,0.88042,0.57995,0.23716,0.90571,0.00426087,0.00426087,0.00426087
82,9546.43,0.47848,0.22874,0.86174,0.99701,0.9958,0.99407,0.88486,0.56056,0.2306,0.88356,0.00418913,0.00418913,0.00418913
83,9627.71,0.48137,0.22609,0.86369,0.99801,0.99589,0.99407,0.88548,0.56302,0.23301,0.88826,0.00411739,0.00411739,0.00411739
84,9709.39,0.47982,0.22482,0.85869,0.99794,0.99701,0.99404,0.88583,0.55794,0.22609,0.87859,0.00404565,0.00404565,0.00404565
85,9791.76,0.47875,0.22622,0.85759,0.99893,0.99801,0.99404,0.88885,0.54452,0.2222,0.86861,0.00397391,0.00397391,0.00397391
86,9874.67,0.4712,0.22278,0.86469,0.99793,0.99801,0.99406,0.87948,0.57224,0.2266,0.89474,0.00390217,0.00390217,0.00390217
87,9958.35,0.47793,0.22274,0.86052,0.99756,0.99801,0.99412,0.88323,0.56669,0.22616,0.87763,0.00383043,0.00383043,0.00383043
88,10068.5,0.47207,0.22198,0.86317,0.99793,0.99701,0.99405,0.88432,0.55561,0.22916,0.89462,0.0037587,0.0037587,0.0037587
89,10192.8,0.47617,0.22281,0.86697,0.999,0.99795,0.99403,0.8877,0.53658,0.22238,0.88752,0.00368696,0.00368696,0.00368696
90,10310.1,0.48028,0.22317,0.86407,0.999,0.99701,0.99409,0.88785,0.53443,0.22438,0.87137,0.00361522,0.00361522,0.00361522
91,10448.9,0.47766,0.22476,0.86511,0.99885,0.99602,0.99404,0.87965,0.56607,0.23313,0.89372,0.00354348,0.00354348,0.00354348
92,10586.1,0.46964,0.22113,0.86496,0.999,0.99597,0.99401,0.87938,0.57483,0.23503,0.90547,0.00347174,0.00347174,0.00347174
93,10724.9,0.46931,0.22042,0.86581,0.99801,0.9979,0.99406,0.87761,0.58331,0.24024,0.91732,0.0034,0.0034,0.0034
94,10861.1,0.46952,0.21893,0.86695,0.99801,0.99689,0.994,0.87587,0.5881,0.24132,0.91775,0.00332826,0.00332826,0.00332826
95,11007.1,0.46698,0.22145,0.86197,0.99785,0.99701,0.99399,0.87444,0.59565,0.24917,0.9201,0.00325652,0.00325652,0.00325652
